Date,Open,High,Low,Close,Volume
15-Sep-16,762.00,770.87,757.58,769.69,3043534
14-Sep-16,762.20,767.50,758.85,761.09,2531822
13-Sep-16,768.77,769.89,759.05,761.01,3117224
12-Sep-16,757.35,772.66,756.00,771.49,3124704
9-Sep-16,779.36,781.00,760.11,760.14,4257344
8-Sep-16,783.89,786.50,781.44,784.06,2030511
7-Sep-16,789.53,790.79,784.33,784.48,2424622
6-Sep-16,774.04,789.48,770.22,788.87,3719788
2-Sep-16,774.11,776.00,771.70,772.44,2157422
1-Sep-16,770.90,772.04,766.75,770.62,1792271
31-Aug-16,766.60,769.64,764.00,769.16,1633789
30-Aug-16,771.05,771.84,765.56,767.58,1709158
29-Aug-16,768.72,774.98,768.60,771.29,2198560
26-Aug-16,760.05,770.00,759.80,769.00,2776830
25-Aug-16,756.00,760.56,754.74,759.22,1622992
24-Aug-16,763.00,763.41,755.36,757.25,1744107
23-Aug-16,763.31,764.70,761.00,762.45,1524131
22-Aug-16,757.50,759.85,752.10,759.48,1679251
19-Aug-16,761.90,762.49,756.89,757.31,2343237
18-Aug-16,764.00,765.17,760.60,764.46,1458834
17-Aug-16,764.41,765.22,759.20,764.63,1891116
16-Aug-16,768.62,768.73,763.82,764.04,1604561
15-Aug-16,771.90,772.04,767.71,768.49,2118521
12-Aug-16,768.46,773.15,768.42,772.56,1563318
11-Aug-16,769.94,773.75,769.12,771.24,2019740
10-Aug-16,769.80,772.10,766.19,768.56,1604280
9-Aug-16,767.39,772.60,766.90,768.31,1876091
8-Aug-16,766.81,767.00,761.02,766.56,1986272
5-Aug-16,764.81,768.47,763.09,765.98,2704391
4-Aug-16,753.70,765.00,750.35,760.77,3178208
3-Aug-16,757.06,758.89,752.25,754.64,3581525
2-Aug-16,763.81,765.01,757.02,760.58,3603280
1-Aug-16,759.87,770.50,757.06,767.74,3578205
29-Jul-16,765.00,766.00,755.00,758.81,6777050
28-Jul-16,745.98,753.36,739.70,752.61,7617580
27-Jul-16,737.97,740.94,733.86,736.67,2913134
26-Jul-16,742.71,743.13,732.75,735.59,2529692
25-Jul-16,746.55,748.50,735.35,739.61,2679290
22-Jul-16,747.79,751.28,743.53,744.86,2277711
21-Jul-16,747.50,749.36,742.79,744.43,2317072
20-Jul-16,744.00,746.25,740.70,745.72,2214023
19-Jul-16,732.50,743.33,732.31,739.95,2216820
18-Jul-16,735.49,741.60,728.72,736.07,2954914
15-Jul-16,746.55,746.55,734.05,735.44,3121385
14-Jul-16,748.86,749.04,739.02,741.20,2390472
13-Jul-16,746.76,756.87,741.25,742.63,4142265
12-Jul-16,756.86,757.34,740.33,748.21,5623657
11-Jul-16,750.00,755.90,747.00,753.78,3195272
8-Jul-16,740.14,746.10,738.00,745.81,3429217
7-Jul-16,739.33,739.55,731.63,736.57,2945783
6-Jul-16,725.71,737.77,722.58,737.61,3938249
5-Jul-16,722.80,728.11,719.61,728.10,2431431
1-Jul-16,717.32,728.00,716.54,725.68,2920423
30-Jun-16,717.20,719.37,712.54,715.62,2855142
29-Jun-16,715.75,719.50,713.54,715.60,3070052
28-Jun-16,700.00,708.00,698.17,707.95,4036957
27-Jun-16,692.01,696.82,682.12,691.36,5584037
24-Jun-16,693.00,712.53,692.20,698.96,7632511
23-Jun-16,715.50,722.12,712.50,722.08,2824974
22-Jun-16,716.58,717.00,707.56,710.60,2260454
21-Jun-16,715.72,718.40,712.72,715.82,2137534
20-Jun-16,713.50,721.31,710.81,714.01,3677162
17-Jun-16,718.19,718.20,699.18,706.39,5897788
16-Jun-16,712.05,718.00,705.30,717.51,3097961
15-Jun-16,722.00,722.56,713.35,714.26,2709447
14-Jun-16,712.33,720.80,712.27,719.30,2506922
13-Jun-16,714.01,721.99,711.16,715.24,3352201
10-Jun-16,722.35,724.98,714.21,717.91,3425718
9-Jun-16,723.10,728.91,722.30,727.65,2170318
8-Jun-16,726.40,729.42,721.60,726.64,2223366
7-Jun-16,729.89,730.00,720.55,723.74,2732463
6-Jun-16,726.50,731.50,724.42,726.73,2704806
3-Jun-16,726.74,727.00,718.43,725.54,3367306
2-Jun-16,720.97,728.28,715.50,728.24,3026583
1-Jun-16,720.90,726.43,718.22,719.44,3263107
31-May-16,712.33,724.23,711.32,722.79,3618323
27-May-16,715.00,716.60,711.10,712.24,2246353
26-May-16,708.33,715.00,707.29,714.91,2436846
25-May-16,708.00,710.86,705.52,708.35,3267686
24-May-16,698.01,707.50,698.00,704.20,2851442
23-May-16,704.25,706.00,696.42,696.75,2579171
20-May-16,701.05,707.24,700.00,702.80,2867442
19-May-16,691.88,699.40,689.56,698.52,3014968
18-May-16,689.56,702.54,688.76,697.45,4272357
17-May-16,709.90,714.47,693.91,695.27,5093930
16-May-16,710.13,713.25,700.28,710.66,5425097
13-May-16,714.64,719.25,706.51,709.92,4746626
12-May-16,717.38,722.45,711.51,717.93,5034666
11-May-16,705.79,719.00,701.65,713.23,7315995
10-May-16,694.00,704.55,693.50,703.07,6087032
9-May-16,673.95,686.98,671.41,679.75,3972272
6-May-16,656.05,676.95,656.01,673.95,4347214
5-May-16,673.31,676.49,656.00,659.09,4875480
4-May-16,662.59,674.00,662.14,670.90,4574490
3-May-16,677.36,680.30,670.43,671.32,4902099
2-May-16,663.92,685.50,662.03,683.85,6560872
29-Apr-16,666.00,669.98,654.00,659.59,10291785
28-Apr-16,615.54,626.80,599.20,602.00,7142090
27-Apr-16,611.80,615.95,601.28,606.57,4020813
26-Apr-16,626.17,626.75,614.88,616.88,2492620
25-Apr-16,616.61,626.98,616.25,626.20,2666702
22-Apr-16,624.47,628.25,611.56,620.50,5069891
21-Apr-16,631.00,637.82,628.50,631.00,2550919
20-Apr-16,630.00,636.55,623.00,632.99,2601549
19-Apr-16,637.14,638.01,620.80,627.90,4048806
18-Apr-16,625.35,637.64,624.96,635.35,4336419
15-Apr-16,621.92,626.77,618.11,625.89,2880881
14-Apr-16,615.07,624.38,615.07,620.75,3474327
13-Apr-16,607.68,616.81,605.29,614.82,4209763
12-Apr-16,598.40,604.06,592.31,603.17,2636315
11-Apr-16,596.14,604.00,594.91,595.93,2696498
8-Apr-16,594.32,597.86,589.00,594.60,2589156
7-Apr-16,598.76,599.60,589.08,591.43,3153717
6-Apr-16,587.52,602.39,587.50,602.08,2833480
5-Apr-16,590.77,593.47,585.25,586.14,2277169
4-Apr-16,599.00,599.50,590.55,593.19,2466710
1-Apr-16,590.49,599.03,588.30,598.50,2912350
31-Mar-16,599.28,600.75,592.21,593.64,2673617
30-Mar-16,596.71,603.24,595.00,598.69,3887968
29-Mar-16,580.15,595.85,576.50,593.86,4167059
28-Mar-16,584.40,584.75,575.56,579.87,3118032
24-Mar-16,567.11,583.55,567.08,582.95,5141569
23-Mar-16,561.00,572.48,558.10,569.63,3966131
22-Mar-16,545.11,562.76,545.05,560.48,3990902
21-Mar-16,548.91,555.24,538.58,553.98,5146137
18-Mar-16,560.94,562.33,546.09,552.08,7263345
17-Mar-16,569.51,571.40,555.01,559.44,5918200
16-Mar-16,576.64,581.32,571.14,574.27,3474570
15-Mar-16,571.00,581.52,567.00,577.02,3876821
14-Mar-16,567.00,576.89,563.05,573.37,3451873
11-Mar-16,566.95,570.06,562.73,569.61,3755372
10-Mar-16,566.74,567.00,547.90,558.93,3914343
9-Mar-16,559.56,560.35,550.12,559.47,4373282
8-Mar-16,557.87,571.35,554.74,560.26,4709432
7-Mar-16,573.54,573.63,555.55,562.80,4926936
4-Mar-16,581.07,581.40,571.06,575.14,3405070
3-Mar-16,577.96,579.87,573.11,577.49,2736673
2-Mar-16,581.75,585.00,573.70,580.21,4576922
1-Mar-16,556.29,579.25,556.00,579.04,5014414
29-Feb-16,554.00,564.81,552.51,552.52,4013368
26-Feb-16,560.12,562.50,553.17,555.23,4858230
25-Feb-16,555.52,559.39,545.29,555.15,4510534
24-Feb-16,545.75,554.27,533.15,554.04,6207285
23-Feb-16,555.55,556.91,545.33,552.94,4035929
22-Feb-16,542.20,560.65,541.08,559.50,5541066
19-Feb-16,520.71,535.95,515.35,534.90,4941120
18-Feb-16,541.19,541.20,523.73,525.00,4704237
17-Feb-16,528.74,537.48,519.39,534.10,4777467
16-Feb-16,519.48,524.45,511.66,521.10,5080654
12-Feb-16,510.70,516.75,501.49,507.08,5357247
11-Feb-16,491.17,509.30,484.00,503.82,7372686
10-Feb-16,491.76,504.66,486.00,490.48,6746103
9-Feb-16,478.01,498.38,474.00,482.07,7045885
8-Feb-16,486.47,493.50,475.21,488.10,9808766
5-Feb-16,529.28,529.45,499.19,502.13,9639606
4-Feb-16,525.00,538.99,519.22,536.26,6176558
3-Feb-16,553.50,556.00,521.90,531.07,10037222
2-Feb-16,570.00,571.56,550.09,552.10,6281425
1-Feb-16,578.15,581.80,570.31,574.81,6313793
29-Jan-16,571.98,593.00,570.00,587.00,14622317
28-Jan-16,608.37,638.06,597.55,635.35,12615917
27-Jan-16,601.99,603.39,578.78,583.35,5029472
26-Jan-16,603.45,604.50,590.38,601.25,3743213
25-Jan-16,597.99,608.50,594.56,596.53,4376653
22-Jan-16,588.73,600.10,584.11,596.38,5101123
21-Jan-16,573.58,588.81,568.22,575.02,4932633
20-Jan-16,564.36,578.45,547.18,571.77,7944703
19-Jan-16,577.09,584.00,566.45,574.48,4782763
15-Jan-16,572.24,584.62,565.30,570.18,7754464
14-Jan-16,580.25,602.25,569.88,593.00,7203038
13-Jan-16,620.88,620.88,579.16,581.81,7599968
12-Jan-16,625.25,625.99,612.24,617.89,4724100
11-Jan-16,612.48,619.85,598.57,617.74,4891551
8-Jan-16,619.66,624.14,606.00,607.05,5512915
7-Jan-16,621.80,630.00,605.21,607.94,7074915
6-Jan-16,622.00,639.79,620.31,632.65,5329197
5-Jan-16,646.86,646.91,627.65,633.79,5822603
4-Jan-16,656.29,657.72,627.51,636.99,9280761
31-Dec-15,686.08,687.75,675.89,675.89,3749560
30-Dec-15,691.89,695.49,686.38,689.07,3519003
29-Dec-15,677.98,696.44,677.89,693.97,5734996
28-Dec-15,665.56,675.50,665.50,675.20,3783555
24-Dec-15,663.35,664.68,660.60,662.79,1092970
23-Dec-15,666.50,666.60,656.63,663.70,2722922
22-Dec-15,666.83,668.49,659.26,663.15,2667795
21-Dec-15,668.50,669.90,658.93,664.51,3250900
18-Dec-15,668.65,676.84,664.13,664.14,6841304
17-Dec-15,680.00,682.50,670.65,670.65,3681645
16-Dec-15,663.56,677.35,659.32,675.77,3964470
15-Dec-15,665.03,671.50,657.35,658.64,4753415
14-Dec-15,641.75,658.58,635.27,657.91,4329653
11-Dec-15,651.23,657.88,639.62,640.15,5474420
10-Dec-15,665.59,668.53,659.56,662.32,3455472
9-Dec-15,678.00,679.00,655.68,664.79,5158172
8-Dec-15,663.13,679.99,659.79,677.33,3651908
7-Dec-15,674.74,675.46,660.50,669.83,3732814
4-Dec-15,666.00,674.78,661.40,672.64,4534796
3-Dec-15,679.44,682.79,661.48,666.25,5064736
2-Dec-15,681.00,684.82,674.25,676.01,4259104
1-Dec-15,673.75,681.00,667.86,679.06,4739462
30-Nov-15,675.90,681.29,664.60,664.80,5474105
27-Nov-15,680.80,680.99,672.10,673.26,1966551
25-Nov-15,675.00,679.70,671.24,675.34,2697889
24-Nov-15,674.14,675.80,661.21,671.15,4533750
23-Nov-15,671.50,682.77,670.12,678.99,4367129
20-Nov-15,663.95,668.87,657.57,668.45,3860188
19-Nov-15,664.99,672.86,659.00,661.27,4674078
18-Nov-15,646.51,664.88,646.37,663.54,4315747
17-Nov-15,650.65,653.25,641.00,643.30,4291990
16-Nov-15,640.92,649.99,622.29,647.81,7403464
13-Nov-15,663.57,667.00,640.45,642.35,6213880
12-Nov-15,673.00,675.64,664.22,665.60,4246218
11-Nov-15,663.25,675.96,663.25,673.25,5373772
10-Nov-15,653.00,660.00,647.26,659.68,3464933
9-Nov-15,658.65,661.96,647.85,655.49,4040181
